Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2MvvoeRt8NcOXWESkxWn3g,"Ribs","Pure Heroine","Lorde",2013-09-27,258969,84,false,menisadi,2025-12-15T20:17:44Z,"","Universal Music New Zealand Limited",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
spotify:track:71iSmEeF0qRVyULABxP75P,"Shake It Out","Ceremonials (Original Deluxe Version)","Florence + The Machine",2011-01-01,277600,72,false,menisadi,2025-12-15T20:17:44Z,"baroque pop","Universal-Island Records Ltd.",0.519,0.798,10,-4.204,1,0.0377,0.00864,0,0.107,0.212,107.509,4
spotify:track:5xo8RrjJ9CVNrtRg2S3B1R,"Motion Sickness","Stranger in the Alps","Phoebe Bridgers",2017-09-22,229760,76,false,menisadi,2025-12-15T20:17:44Z,"","Dead Oceans",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,"50 Ways to Leave Your Lover","Still Crazy After All These Years","Paul Simon",1975-10-25,217573,73,false,menisadi,2025-12-15T20:17:44Z,"singer-songwriter","Legacy Recordings",0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,4
spotify:track:0QW0KPBXXv67haGjbtkRRB,"Image","Imaginal Disk","Magdalena Bay",2024-08-23,212866,62,false,menisadi,2025-12-15T20:17:44Z,"","Mom+Pop",0.611,0.863,5,-6.369,0,0.0421,0.000291,0.17,0.15,0.851,128.015,3
spotify:track:2jNyiavSywmA472t2m6ZBz,"What Was That","What Was That","Lorde",2025-04-24,209286,27,false,menisadi,2025-12-15T20:17:44Z,"","Universal Music New Zealand Limited",0.44,0.615,0,-6.768,1,0.347,0.321,0.0000338,0.102,0.161,168.152,5
spotify:track:3vaYdeBFQpYbcd0VfeZa6X,"לפני שהכל נרדם","לפני שהכל נרדם","Alma Gov;Avner Tueg",2025-02-13,196262,25,false,menisadi,2025-12-15T20:17:44Z,"","Universal Music Israel Distributed Labels",0.492,0.546,8,-8.948,0,0.0274,0.58,0.034,0.111,0.56,105.905,4
spotify:track:6HbxpoChDH9ThadFOSAnma,"Autumn Town Leaves","Weed Garden","Iron & Wine",2018-08-31,195200,59,false,menisadi,2025-12-15T20:17:44Z,"indie folk","Sub Pop Records",0.662,0.322,1,-15.115,1,0.0304,0.855,0.0019,0.144,0.425,115.771,4
spotify:track:7s2kWabRM60W9I61HpKg8C,"Solar Power","Solar Power","Lorde",2021-08-20,192621,60,false,menisadi,2025-12-15T20:17:44Z,"","Universal Music New Zealand Limited",0.73,0.483,4,-8.565,1,0.0879,0.237,0.0000799,0.31,0.883,87.996,4
spotify:track:6tAHoWuZoM6QprTo61SBne,"Got To Be Mine","Dot","Vulfmon;Evangeline",2024-07-23,188114,59,false,menisadi,2025-12-15T20:17:44Z,"","Vulf Records",0.791,0.758,7,-7.323,1,0.0527,0.217,0.022,0.349,0.888,96.146,4
spotify:track:7iQmjnDXYngWGsbjVnDc1U,"Amsterdam","The Weatherman","Gregory Alan Isakov",2013-07-09,198640,73,false,menisadi,2025-12-15T20:17:44Z,"indie folk,folk,folk pop","Suitcase Town Music",0.553,0.429,3,-12.51,1,0.0283,0.921,0.135,0.115,0.532,152.047,3
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,84,false,menisadi,2025-12-15T20:17:44Z,"classic rock,yacht rock,soft rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry","The Secret of Us","Gracie Abrams",2024-06-21,157146,87,true,menisadi,2025-12-15T20:17:44Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
spotify:track:24slF4hf2UCFOHfT5QR7Wf,"טוב לאדם","נקיון","הגל השני;Tomer Yeshayahu",2020-09-13,132315,29,false,menisadi,2025-12-15T20:17:44Z,"","Digistage",0.428,0.238,3,-10.248,1,0.0313,0.845,0.000357,0.377,0.308,190.078,3
spotify:track:43wwn1EmqxcMOWYSd0Gk2Z,"Patterns","Patterns","Laura Marling",2024-07-10,260509,55,false,menisadi,2025-12-15T20:17:44Z,"singer-songwriter,southern gothic,folk,indie folk","Chrysalis Records",0.491,0.215,1,-14.63,1,0.034,0.914,0.396,0.106,0.209,98.416,4
spotify:track:2y6vEKzRcA49gCJEv9DP8N,"Rust.","Rust.","Mon Rovîa",2024-11-29,215652,63,false,menisadi,2025-12-15T20:17:44Z,"","Nettwerk Music Group",0.663,0.387,7,-10.608,1,0.0339,0.669,0.0678,0.116,0.355,137.943,4
spotify:track:1Q1b8eVkUPGlpSArl8JAVw,"Heart of Gold - 2009 Remaster","Harvest (2009 Remaster)","Neil Young",1972-02-14,187013,65,false,menisadi,2025-12-15T20:17:44Z,"classic rock,folk rock,singer-songwriter,roots rock","Reprise",0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.802,171.163,4
spotify:track:2uqYupMHANxnwgeiXTZXzd,"Austin (Boots Stop Workin')","What Happens Now?","Dasha",2024-02-16,171782,82,true,menisadi,2025-12-15T20:17:44Z,"","Warner Records",0.756,0.672,0,-6.743,1,0.0522,0.464,0.00000337,0.108,0.739,114.935,4
spotify:track:3JxE1VLDvO3B0l27LPunRt,"Heartbreakdown","Heartbreakdown","SYML",2025-02-07,254822,35,false,menisadi,2025-12-15T20:17:44Z,"","Nettwerk Music Group",0.52,0.288,8,-9.842,1,0.0281,0.643,0.0000106,0.104,0.353,104.8,4
spotify:track:7pdmBld4yW3WIUkrxHyb5r,"Northern Sky","Bryter Layter","Nick Drake",1971-03-05,223722,67,false,menisadi,2025-12-15T20:17:44Z,"folk,singer-songwriter","UMC (Universal Music Catalogue)",0.552,0.447,5,-11.076,0,0.039,0.187,0.873,0.117,0.45,90.344,4
spotify:track:3AyuigFWbuirWHvidbMz8O,"Should Have Known Better","Carrie & Lowell","Sufjan Stevens",2015-03-31,307697,63,false,menisadi,2025-12-15T20:17:44Z,"baroque pop","Asthmatic Kitty",0.493,0.171,7,-20.696,1,0.0317,0.98,0.263,0.126,0.296,90.928,4
